"","subject","filename","word","vowel","start","end","duration","f0_20","f0_50","f0_80","f1_20","f1_40","f1_50","f1_60","f1_80","f2_20","f2_40","f2_50","f2_60","f2_80","f3_20","f3_40","f3_50","f3_60","f3_80","Analyst","Date","Settings","Praat.Version","OS","group","language","time","age","sex","city","country","education","history_welsh","history_other","use_welsh","use_other","proficiency_welsh","proficiency_other","attitudes_welsh","attitudes_other","score_welsh","score_other","dominance","hz.max","f1_norm","f2_norm","f3_norm","syll_type2","unpred","length"
"256","ar_002","welsh_002_production_w_20171102","cod","o",285.755666219539,285.952528344671,196.862125131758,169.9260283711,130.960454651779,NA,569.532880905801,512.202881041497,530.082487634635,533.923994371058,491.399200022716,840.944227736482,867.991262497657,902.619445143405,921.426040366557,986.482332602022,2566.80038811788,2674.45864328841,2766.61382546293,2683.66272086092,2686.34224274983,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.82590719013186,-0.293638790975297,0.8264395840896,"voiced","predictable","long"
"257","ar_002","welsh_002_production_w_20171102","cod","o",289.107869026865,289.241680517251,133.811490386221,162.870442087323,153.922551450794,NA,513.067810648617,538.097089649849,551.185800949051,537.58378640399,503.60836339707,851.791946022214,853.624532598124,874.396411097962,904.891530174074,1029.21643804067,2606.79789620282,2673.57278106879,2663.4024452972,2667.90380562037,2722.59542562698,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.786867862498757,-0.325405989177201,0.788419877564439,"voiced","predictable","long"
"258","ar_002","welsh_002_production_w_20171102","cod","o",292.196718347312,292.310206377909,113.488030597636,134.160216622207,147.175355215862,161.091692709905,597.85039662351,580.241231730989,567.657672027113,551.77117433959,518.094074318982,981.624893360477,982.297400232956,997.154851079388,1027.27959253166,1078.47895609679,2557.54920796247,2583.00635885802,2565.79906237193,2575.6427550914,2710.81515759955,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.75742127467696,-0.194033746682444,0.751085412767822,"voiced","predictable","long"
"259","ar_002","welsh_002_production_w_20171102","cod","o",295.573508266051,295.681191128729,107.682862678132,171.818710496153,192.40186085249,217.417874215997,543.192898949262,551.562825324602,557.657996237363,535.555841705744,480.316266985116,1002.14184357578,979.990110020687,984.835592471183,998.55988921309,1098.15066014709,2444.48711544236,2524.43990734034,2474.45893941629,2453.9701559025,2617.11887841457,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.775193957107992,-0.206465105570224,0.714837219152895,"voiced","predictable","long"
"260","ar_002","welsh_002_production_w_20171102","bat","a",298.227723350354,298.38662486047,158.901510116265,139.977058077119,140.587843066687,134.423336801391,724.889245825318,986.809748285457,953.317246728577,964.844306767576,744.57545009596,1364.39238968313,1384.70396165881,1163.51284549261,1371.02816170611,1503.29689163537,2439.38241519848,2771.43131411153,2672.27987285029,2627.69833586283,2629.8135583735,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.238992080671833,-0.0397407985439111,0.791747450390261,"voiceless","predictable","short"
"261","ar_002","welsh_002_production_w_20171102","bat","a",301.038960333943,301.184263945578,145.303611634858,157.740841187315,167.717603967827,172.685727341079,750.868055630334,794.962131926805,858.198870137255,796.32826929368,727.985230080788,1273.77059132095,1322.29309558891,1362.91208932514,1362.52080626415,1519.4431748534,2338.67628147999,2356.01751038536,2419.2370322451,2414.63232016039,2621.79068970475,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.34410396560722,0.118439110074868,0.69226767189473,"voiceless","predictable","short"
"262","ar_002","welsh_002_production_w_20171102","bat","a",304.459492178327,304.607109016634,147.616838307044,157.290220094659,172.498812788743,182.607776430995,747.730285331005,834.509743565183,792.734006380353,777.791593179569,720.369246974243,1303.96553561125,1371.2907326519,1365.54824259845,1395.18976361959,1524.92539633209,2395.64244887516,2433.65799452425,2465.58096741072,2512.90217780541,2635.70323659861,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.423452083258599,0.120371448297076,0.71124292366911,"voiceless","predictable","short"
"263","ar_002","welsh_002_production_w_20171102","bat","a",308.69678514502,308.86225516242,165.470017399684,178.830672667583,191.306793853115,180.969495618278,779.106675786882,909.645959510019,873.144442591336,865.837138922104,772.986370825991,1329.12923788649,1463.5380217452,1398.36197738035,1456.36788044225,1503.23788649479,2475.70756776971,2528.49946656249,2447.67207550161,2541.26311060056,2588.40406984584,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.326838824029875,0.144116992828871,0.703952856959035,"voiceless","predictable","short"
"264","ar_002","welsh_002_production_w_20171102","hed","e",312.962216391318,313.05047246116,88.2560698423162,124.000347300614,NA,NA,539.278163023954,522.89119781287,505.739080823816,501.705133717473,455.105552114375,1923.3613461808,1914.1961725947,1929.11943923741,1918.7882613871,1836.92650381655,2576.37412651256,2606.94576832743,2622.74352006824,2649.88620191845,2615.63494897568,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.872918935866136,0.465879107071534,0.773036372331079,"voiced","predictable","long"
"265","ar_002","welsh_002_production_w_20171102","hed","e",316.189424922286,316.337765433164,148.340510877289,152.099105465841,161.191456276804,155.143940834494,539.005465757978,572.031218600233,544.596359199249,528.908881596082,515.310152298624,2003.80119649611,1946.40750665275,1939.25397621078,1924.76361706924,1894.77277789321,2672.34065780724,2645.51085438733,2589.69749964559,2624.40395612133,2665.82171477298,NA,"Sun Apr 29 12:13:39 2018","Max formant: 5000 Hz, Number of formants: 5, Window length: 0.025 s","6.0.36","OSX","WS","welsh",43062.54571,"26","M","Trelew","Argentina","College (B.A, B.S.)","19.068",43.584,0,54.5,0,49.94,NA,54.48,"19.068",202.504,"-183.436",5000,-0.798894926671982,0.471118808140419,0.760356530754504,"voiced","predictable","long"
