subject,word,vowel,start,end,duration,f0_20,f0_50,f0_80,f1_20,f1_40,f1_50,f1_60,f1_80,f2_20,f2_40,f2_50,f2_60,f2_80,f3_20,f3_40,f3_50,f3_60,f3_80,age,sex,f1_norm,f2_norm,f3_norm,v_length
ar_003,twn,u,401.6355408,401.7848783,149.3375758,133.0039267,129.3831521,119.8273229,373.0360745,348.7777916,346.5397181,345.7287062,309.2755353,1565.427499,1451.525104,1425.956688,1410.181229,1453.76338,2400.064489,2352.929458,2339.869737,2359.170488,2287.630378,26,M,-1.256749027,0.157851762,0.653104073,short
ar_003,twn,u,405.3099239,405.4949689,185.0449807,126.8803794,125.6250366,120.136094,357.7391324,350.8448469,341.5857288,340.2050209,357.1339388,1506.487166,1407.907838,1373.419785,1342.675532,1335.142806,2144.644179,2237.432979,2263.970853,2257.864862,2314.06039,26,M,-1.271147782,0.120312637,0.6201291,short
ar_003,cyn,?,465.439508,465.5251757,85.66774872,148.4243751,144.2473015,131.5075124,402.3163811,419.7472455,408.6540835,381.2562309,311.7393672,1595.414853,1581.330279,1563.137833,1559.822732,1607.378125,2064.043451,2128.371508,2104.115229,2099.985917,2405.542039,26,M,-1.091877429,0.249704046,0.546903874,short
ar_003,cyn,?,470.4680095,470.5847089,116.6994072,124.1547494,118.4389035,117.605676,341.2351247,362.5571336,354.499626,360.8884254,344.1555426,2054.539851,2103.826324,2177.35554,2166.918277,2094.15259,2938.59604,2926.484752,2494.304956,2816.337148,2799.02662,26,M,-1.234039174,0.581119899,0.717018929,short
ar_003,cyn,?,473.9461366,474.0596765,113.5399198,117.4992692,112.2536484,110.8355305,390.999829,419.5097023,429.1000694,429.6438391,418.5772002,2023.636971,2036.31972,2063.183091,2063.756487,2052.636011,2724.09113,2841.188676,2896.317856,2845.477004,2794.946846,26,M,-1.043056312,0.527258794,0.866449039,short
ar_003,cyn,?,477.0207125,477.1249073,104.194736,115.296974,112.1503951,115.3754309,330.1526406,347.1480745,365.9580579,377.8677609,375.4005628,2110.408582,2142.466209,2178.021003,2182.981937,2197.975143,2852.377093,2866.183625,2903.799115,2958.032055,2835.033326,26,M,-1.202227734,0.581425482,0.869028733,short
ar_003,tan,a,479.0657685,479.2088482,143.0797034,117.8481236,113.4749034,104.6403283,678.0695695,711.68897,738.0005569,735.2777801,716.4498786,1556.403321,1516.449181,1526.009359,1529.877959,1587.316724,2650.725291,2636.729162,2661.889938,2456.604895,2629.472861,26,M,-0.500801886,0.225664879,0.782045187,short
ar_003,tan,a,481.2692494,481.4468834,177.6340698,109.9966011,109.8193605,113.8203298,684.9072983,739.6527867,729.4344267,724.4202091,674.1562856,1530.340682,1447.247735,1451.35506,1488.403512,1569.392156,2693.89602,2550.953112,2600.374547,2626.877128,2258.94524,26,M,-0.512476989,0.175506458,0.758664305,short
ar_003,tan,a,485.49561,485.6761441,180.534056,102.0631772,103.8899214,107.2591032,658.5999,755.8926558,727.6668358,694.7485515,642.4348059,1593.110404,1529.847657,1212.795104,1557.789646,1206.30132,2668.072214,2773.989018,1550.421685,1711.0892,1561.812996,26,M,-0.514903165,-0.004063487,0.241535763,short
ar_003,tan,a,489.3491569,489.5236048,174.4479097,104.2898941,107.0074024,112.87956,709.23232,728.164473,759.4255419,742.2143141,674.5096819,1602.929366,1576.864952,1580.283191,1598.790403,1608.623989,3010.431967,3289.986838,2729.189263,2819.206089,2846.238001,26,M,-0.472184184,0.260612879,0.807013406,short
ar_003,ffon,o,425.3638078,425.5658436,202.0358313,110.7449848,107.6680991,107.667288,573.8348999,626.2381956,679.7780847,739.7301123,492.538301,951.9996639,861.148452,824.0538199,884.2250568,1118.921298,2706.642035,2640.01481,2650.370126,3083.463008,2372.607181,26,M,-0.582980067,-0.390510622,0.777708114,short
ar_003,ffon,o,429.019933,429.2277431,207.810124,104.8943167,104.2705884,105.9588613,612.8702046,797.0566097,628.7762971,611.7003795,562.5183793,945.1641805,896.0199985,895.3337892,866.0867595,1055.895597,2994.931793,2640.168809,2310.567689,2088.075701,2230.604746,26,M,-0.66097092,-0.307549868,0.640502061,short
ar_003,pin,i,431.5579136,431.6211812,63.26754957,128.7301153,127.2926973,123.500181,359.7241445,347.1145091,337.4868912,324.0336297,314.1972387,2192.829429,2291.509635,2282.402827,2268.098498,2213.332555,2366.462812,2876.816165,2909.510194,2739.510422,2967.130289,26,M,-1.283219797,0.628237573,0.870993562,short
ar_003,pin,i,434.2531086,434.3801034,126.9947027,123.2504846,117.2116983,113.703175,348.3234473,355.8662504,343.8454585,350.194711,379.0129156,2144.212133,2266.238397,2262.493394,2286.359041,2302.155128,2773.679428,2778.599146,2732.457729,3059.765457,3023.771466,26,M,-1.264554157,0.61947629,0.808210285,short
ar_003,pin,i,437.812623,437.9767624,164.1394514,112.3283988,106.6806602,108.0185275,427.5160431,427.5396365,422.2080677,423.2454226,435.1800687,2025.184349,2035.788704,2079.075278,2038.559822,1947.698259,2837.718349,2815.652756,3015.449177,3013.709187,2744.839641,26,M,-1.059248221,0.534932031,0.906757614,short
ar_003,pin,i,441.7334916,441.9046216,171.1299957,110.6788408,109.2194081,110.2124069,389.4412599,413.4685054,419.6177502,423.9891592,414.171409,2289.313743,2184.32923,2115.847567,2164.621503,2134.099153,2465.147677,2795.351893,2822.359637,2876.430937,2940.280298,26,M,-1.065402287,0.552464287,0.840582099,short
ar_003,ffon,o,419.617795,419.834974,217.1789704,94.86795258,111.270732,112.2473175,501.9890964,487.9296907,507.5986279,576.6198596,555.8836779,778.769884,781.4997825,805.2553212,823.8797418,1076.862334,2558.118828,2551.064676,2677.121727,2704.328194,2346.345905,26,M,-0.875055433,-0.413587069,0.787751049,short
ar_003,ffon,o,421.9973961,422.1955166,198.1204789,113.3677867,109.9087436,106.7204446,558.8558854,619.8941844,630.0139826,570.6682031,552.0764294,860.6919046,918.0319732,933.2822617,1028.840276,1198.071202,2560.851658,2542.996204,2677.353247,2780.369305,2935.88777,26,M,-0.659004452,-0.266038779,0.787837526,short
ar_003,lle:n,e,590.3449427,590.5569261,211.9834767,135.4731743,133.0286689,113.0242683,567.422046,543.9222357,531.3553173,522.3263158,545.0298566,1674.0713,1723.263277,1747.742094,1782.229008,1836.27859,2535.829444,2613.680377,2585.732993,2576.520233,2596.744986,26,M,-0.82931552,0.361333536,0.753017838,long
ar_003,lle:n,e,584.371861,584.6255365,253.6754864,136.6478758,120.7876744,106.2611001,532.4680857,518.2715275,525.2300789,567.4111156,554.2142011,1835.057158,1869.311704,1886.981817,1844.910305,1801.910514,2632.861761,2652.298038,2625.243057,2692.220989,2682.990639,26,M,-0.840910053,0.437987444,0.768182298,long
ar_003,lle:n,e,587.2225216,587.3885189,165.9973089,135.3421119,129.393243,115.9780538,562.7492174,537.3555728,517.6355766,527.0832029,511.7135863,1718.28106,1795.406361,1841.544535,1909.085481,1894.530137,2677.324371,2645.895413,2682.378234,2573.563408,2675.4116,26,M,-0.855474991,0.413613454,0.789712616,long
ar_004,cy:n,?,512.6977322,512.9755747,277.8425117,223.1967967,209.810813,209.8527561,450.4245119,438.3687275,449.3157858,514.242807,613.3537253,2839.731036,2721.078294,2849.735021,2853.776713,2721.152462,3333.304409,3437.088781,3500.319069,3590.512365,3587.355859,38,F,-1.164643979,0.682611365,0.888239477,long
ar_004,cy:n,?,515.5699868,515.7845177,214.5308933,234.8186914,218.282557,213.1134022,456.5092771,444.4017989,439.9285983,434.9106804,564.6174837,2758.143132,2734.140073,2709.559656,1826.168633,2629.400928,3228.029635,3272.30926,3260.981292,2833.965763,3386.574335,38,F,-1.185757492,0.632171483,0.81741351,long
ar_004,tan,a,479.7514068,479.8816069,130.200071,240.3379829,224.5922784,201.3783005,1071.03452,962.884585,829.3008963,743.5418628,760.3783836,1583.460041,1120.904861,992.4398898,1040.111041,1780.332234,3223.458036,1671.108679,1714.024223,1692.912036,3288.801362,38,F,-0.551786877,-0.372203483,0.174229302,short
ar_004,tan,a,482.3089285,482.5025031,193.574615,242.1383579,227.1357199,223.535517,1041.597844,731.9657316,868.7402505,596.038171,711.790113,1679.123416,1082.117578,945.7775457,865.2233434,1034.860833,3015.281882,1801.061602,1824.550449,1819.091445,1885.940822,38,F,-0.505325755,-0.42036254,0.236718977,short
